material_id,composition,wyckoff,thermo
7de30a12ed5f1e950d3a83f8af5ccd8a,AsS2,AB2_hP3_187_a_h:As-S,0
796903e58de98db07181b1809b541e11,AsS2,AB2_hP3_164_a_d:As-S,2
81b6ac6c12f4e39074252683e39b5e9c,AsSBr,ABC_hP3_156_b_a_a:As-Br-S,2
68c83c5ac8c194c9aed2c129e9cdba9c,AsSBr,ABC_hP3_156_a_b_c:As-Br-S,2
7ce87031ab3549ba1472e9bed8dfc1b2,AsSCl,ABC_hP3_156_b_a_a:As-Cl-S,2
87bdb7734a3d005cdd7281878d0c2347,AsSCl,ABC_hP3_156_a_b_c:As-Cl-S,2
de8da2b929c8d72894c39a63a0a30394,AsSI,ABC_hP3_156_b_a_a:As-I-S,2
91f89201268f8c7faaa1e3e8530d9d25,AsSI,ABC_hP3_156_a_b_c:As-I-S,2
2ea5ab3b07a65e3ba9d05bedfaf2f68e,AsSe2,AB2_hP3_187_a_h:As-Se,0
3df14afff1fe79c5205c95f01642596b,AsSe2,AB2_hP3_164_a_d:As-Se,2
10e564f6c5884f3a295d6711ea4b6089,AsSeBr,ABC_hP3_156_a_b_c:As-Br-Se,2
5bb30e4deca11e1eceb1e56b1f8a571f,AsSeBr,ABC_hP3_156_b_a_a:As-Br-Se,2
372b0195bb88a39d6fa0f4b55f3c6809,AsSeCl,ABC_hP3_156_b_a_a:As-Cl-Se,2
27aa9eb84072add4c5d298723fbe82c6,AsSeCl,ABC_hP3_156_a_b_c:As-Cl-Se,2
498e6cbbd7a96b64541c19f5a2e978af,AsSeI,ABC_hP3_156_a_b_c:As-I-Se,2
759f1718c07b1f6076a17d2ca03afa3f,AsSeI,ABC_hP3_156_b_a_a:As-I-Se,2
e89c9b27a07dfcdcea6c9677f3b210a4,AuBr,AB_hP4_164_d_d:Au-Br,2
45371e61d63f9fe61d6854e0d503b82e,AuBr,AB_oC8_67_c_g:Au-Br,2
3f87729243e7a1a2e8d8c2377992c307,AuBr,AB_tP4_129_a_c:Au-Br,2
beb2925c1f188e67fc1ec0a3303adc0e,AuBr2,AB2_mC6_12_a_i:Au-Br,2
9c399cbe0b3562ab4455359c3b4a53f5,AuBr2,AB2_hP3_164_a_d:Au-Br,2
cda0ef2f89579071b1581f5f27e06cef,AuBr2,AB2_tP3_115_a_g:Au-Br,2
aedf3a94128f7a9c08a29e4e18cdbabf,AuBr2,AB2_hP3_187_a_h:Au-Br,2
beded0a9e150b07fef02a8cff9187312,AuBr3,AB3_hP8_191_c_i:Au-Br,2
2debfac88e610ca32905e9c32264eada,AuBr3,AB3_hP8_162_c_k:Au-Br,2
2b8c8aedce70ab43f9def0ebb20091ec,AuBrN,ABC_oP6_59_b_a_a:Au-Br-N,0
400e6794aa432a87d0fc8f2032453257,AuBrO,ABC_oP6_59_b_a_a:Au-Br-O,2
4b8c5e051819c0b18c579069c86a52d7,AuCl,AB_tP4_129_a_c:Au-Cl,2
d33dacf436098e299e837bd3071d3391,AuCl2,AB2_hP3_164_a_d:Au-Cl,2
3416521ce2d0d60e2abc89e63e1deee7,AuCl2,AB2_tP3_115_a_g:Au-Cl,2
ae60b36634276d49729a7c76cb136168,AuCl2,AB2_hP3_187_a_h:Au-Cl,2
9909ae2c30f9cf6e3acd461ce75943e4,AuCl3,AB3_hP8_162_c_k:Au-Cl,2
b4c2b668cb7f01d701c00d23fd860714,AuCl3,AB3_hP8_191_c_i:Au-Cl,2
6eb7a95d325565379b475c35f1ad3773,AuClO,ABC_oP6_59_b_a_a:Au-Cl-O,2
6015c9925d10d5bba6baffd36965039f,AuF2,AB2_tP3_115_a_g:Au-F,2
74ba2f0cb3c22faf075ab50d951152fb,AuI,AB_tP4_129_a_c:Au-I,2
7fbdd3a6b5383c2200aba8376e2aa555,AuI,AB_hP4_164_d_d:Au-I,2
68e9e80e718e11cc60b6eae7f84d8ef6,AuI2,AB2_tP3_115_a_g:Au-I,2
fc0edd8b690394c9d1e8158144ab5861,AuI2,AB2_hP3_187_a_h:Au-I,0
27a417aa2bf569c81d04b0ff8afd06bc,AuI2,AB2_hP3_164_a_d:Au-I,2
fb7606b13a74258a7fe711db2ced1924,AuI2,AB2_mC6_12_a_i:Au-I,2
aebdec3418681b73ddcd4f49927e863f,AuI3,AB3_hP8_162_c_k:Au-I,2
ce8d34918da14850a84897ab67a23aca,AuI3,AB3_hP8_191_c_i:Au-I,2
38c113703b3f707d814ae7a18966632a,AuIN,ABC_oP6_59_b_a_a:Au-I-N,0
9f3b1a3dd1ca6c4dd407a50abc6f52f0,AuIO,ABC_oP6_59_b_a_a:Au-I-O,0
8600c6e2496b38090dc67c6d7b6b9f82,AuNCl,ABC_oP6_59_b_a_a:Au-Cl-N,0
8ac4e5c23c68873c0d2b1a8b4853cee0,AuO,AB_mP4_10_ae_m:Au-O,2
83d78fe62c2814f73706abcaba21c612,AuO,AB_hP4_187_g_h:Au-O,0
92d0fbcdb3706d6f36a74a3d2c18fa7e,AuO2,AB2_hP3_164_a_d:Au-O,0
e20216f0bb52bf3c158cb9d05ba1f923,AuO2,AB2_tP3_115_a_g:Au-O,0
16ec2ee8e6b23b983f8c0ddda75c12fd,AuO2,AB2_mC6_12_a_i:Au-O,0
457d17e53052bf61a4586c6d43f966f4,AuO2,AB2_hP3_187_a_h:Au-O,0
30f99534b35194de13c7a0d939fbe900,AuS,AB_mP4_10_ae_m:Au-S,2
51f4d171eea04f17d953e038101466a7,AuS,AB_hP4_164_c_d:Au-S,0
3d4ac07bd52174f224de06180eaabd01,AuS,AB_hP4_187_g_h:Au-S,0
9b2eb7097443975e26ed5176b5e14185,AuS2,AB2_tP3_115_a_g:Au-S,0
b0d1b5c1a7f539659814c74b2416dfe3,AuS2,AB2_mP6_14_a_e:Au-S,2
212db428ed59f4d9b4cd8bdee7653786,AuS2,AB2_hP3_187_a_h:Au-S,0
e17997ec609e62e4f7aa4498aea0c631,AuS2,AB2_hP3_164_a_d:Au-S,0
15606984738110b63fc227634cc7c4fa,AuSBr,ABC_oP6_59_b_a_a:Au-Br-S,2
a05206da703eff083d7584a13c69b1c6,AuSI,ABC_oP6_59_b_a_a:Au-I-S,2
c218d81cc9fdc01a9636725232c0142c,AuSe,AB_mP4_10_ae_m:Au-Se,2
67010df6cd16d185c26549be30d331f5,AuSe,AB_hP4_164_d_d:Au-Se,2
ad483e4e49bd43ae5e0d1ccb4dcdf9eb,AuSe,AB_hP4_187_g_h:Au-Se,0
5a16aec9a32b79c393b44fafb7e6da8c,AuSe,AB_hP4_164_c_d:Au-Se,0
540e4b00d0c7ddadf935a1c53d29960a,AuSe2,AB2_hP3_187_a_h:Au-Se,0
25367cc47ef3766df9a6fc3525709f61,AuSe2,AB2_tP3_115_a_g:Au-Se,0
d403f67e0cbdb76a8e52ac6d2539c90d,AuSe2,AB2_hP3_164_a_d:Au-Se,2
5295284a575424ac951cc3178823631a,AuSe2,AB2_mP6_14_a_e:Au-Se,2
6d7d6535c2fbf66504cc913218141670,AuSe2Br,ABC2_mP8_4_a_a_2a:Au-Br-Se,2
4db972edbd04b434fb4151dd44b79d8a,AuSe2I,ABC2_mP8_4_a_a_2a:Au-I-Se,2
d2407e0023744780b94ba3a915ac686f,AuSeBr,ABC_oP6_59_b_a_a:Au-Br-Se,2
20d298515d6acba5bfc7c6ade5b69e31,AuSeCl,ABC_oP6_59_b_a_a:Au-Cl-Se,2
5a0034d072338aedcc822c5ef10589a7,AuSeI,ABC_oP6_59_b_a_a:Au-I-Se,2
a971d2a7209dc958d993bc29123dd3ce,B,A_oC4_65_g:B,0
e811aed00bd711d6699c85c3bd13d14e,B(MoO)2,AB2C2_hP5_164_a_d_d:B-Mo-O,2
89a96c56ba49935a8cc55404ad47c798,B(MoS)2,AB2C2_hP5_164_a_d_d:B-Mo-S,2
2175177cd49ff77d848edcee09a38c08,B(MoSe)2,AB2C2_hP5_164_a_d_d:B-Mo-Se,2
c5aa811f95b72f0d4bfe3d4b1a337384,B(WO)2,AB2C2_hP5_164_a_d_d:B-O-W,2
948c2f182a7e3991fabf68afc9bb5199,B(WS)2,AB2C2_hP5_164_a_d_d:B-S-W,2
7ad8c7176739ec09d5b52b0fb26a105a,B(WSe)2,AB2C2_hP5_164_a_d_d:B-Se-W,2
6cb80b69251e12b2e2d3aaba9d79e9b5,B2N,A2B_hP3_164_d_a:B-N,0
576122e1465d4b2dd3ed221a185f39c2,B3C10N3,A3B10C3_oP16_25_2ac_a3c3e_ae:B-C-N,2
ddcf2f48ec74a46f78d0fc21c6e4c83e,BAs,AB_hP2_187_a_c:As-B,0
2c14aa60821bbbd468d2d460d9242f81,BC,AB_hP2_187_a_c:B-C,0
3c5a5be4867dca5b9d23b4cc28721766,BN,AB_hP2_187_a_c:B-N,2
f2beab3c8f2391a821239bb38cc65067,BP,AB_hP2_187_a_c:B-P,2
57526b9ccc12b7afa8fb4dc0b8d95539,BSb,AB_hP2_187_a_c:B-Sb,0
7aee9d4eb1d5ea09005dd8ed2f5b3a2b,Ba2N,A2B_hP3_164_d_a:Ba-N,2
a331b884eefbb92391318964097fcc8b,Ba2TlCuHgO5,A2BCD5E_tP10_99_2b_a_a_2abc_a:Ba-Cu-Hg-O-Tl,2
d031de76c62a703e896246298cc8437e,BaBr,AB_tP4_129_a_c:Ba-Br,2
ef945b1f497d63a17ef9e70e410ad052,BaBr2,AB2_hP3_164_a_d:Ba-Br,2
dd641f5605b1528409926404a13cbaeb,BaBr2,AB2_tP3_115_a_g:Ba-Br,2
e041cdae8316e4ae42f44d44b280095e,BaBr2,AB2_hP3_187_a_h:Ba-Br,2
1317e7f4ed15d2e809a9ce92f49faee3,BaCl,AB_tP4_129_a_c:Ba-Cl,2
4f37a6420548a419867668cea667c5eb,BaCl2,AB2_hP3_187_a_h:Ba-Cl,2
575e41a2807c3849a1bbc366100a864b,BaCl2,AB2_tP3_115_a_g:Ba-Cl,2
c8ad46a17ef4749df7719b2abac152f7,BaCl2,AB2_hP3_164_a_d:Ba-Cl,2
